id,handle,text,is_retweet,original_author,time,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,is_quote_status,lang,retweet_count,favorite_count,longitude,latitude,place_id,place_full_name,place_name,place_type,place_country_code,place_country,place_contained_within,place_attributes,place_bounding_box,source_url,truncated,entities,extended_entities,theme
780656338628145153,realDonaldTrump,"Thank you! Four new #DebateNight polls with the MOVEMENT winning. Together, we will MAKE AMERICA SAFE &amp; GREAT AGAIN… https://t.co/39FCnUf8Pb",False,,2016-09-27T06:32:29,,,,False,en,10829,24078,,,01a9a39529b27f36,"Manhattan, NY",Manhattan,city,US,United States,[],{},"BoundingBox(type='Polygon', coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]], _api=<tweepy.api.API object at 0x7f013ae30588>)",http://twitter.com/download/iphone,True,"{'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/7…', 'expanded_url': 'https://twitter.com/i/web/status/780656338628145153', 'indices': [121, 144], 'url': 'https://t.co/39FCnUf8Pb'}], 'hashtags': [{'text': 'DebateNight', 'indices': [20, 32]}]}",,1
780618351601192960,realDonaldTrump,"Thank you Governor @Mike_Pence!
Lets MAKE AMERICA SAFE AND GREAT AGAIN with the American people. 
#AmericaFirst… https://t.co/6k7qP9X8nC",False,,2016-09-27T04:01:32,,,,True,en,7350,22113,,,,,,,,,,,,http://twitter.com/download/iphone,True,"{'user_mentions': [{'id_str': '22203756', 'name': 'Mike Pence', 'id': 22203756, 'screen_name': 'mike_pence', 'indices': [19, 30]}], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/7…', 'expanded_url': 'https://twitter.com/i/web/status/780618351601192960', 'indices': [113, 136], 'url': 'https://t.co/6k7qP9X8nC'}], 'hashtags': [{'text': 'AmericaFirst', 'indices': [98, 111]}]}",,1
780579728964980736,realDonaldTrump,"Instead of driving jobs and wealth away, AMERICA will become the world's great magnet for innovation and job creati… https://t.co/02NMQn3ZNQ",False,,2016-09-27T01:28:04,,,,False,en,7189,19174,,,07d9e38854885001,Hofstra University,Hofstra University,poi,US,United States,[],{},"BoundingBox(type='Polygon', coordinates=[[[-73.60015869140625, 40.71675324247426], [-73.60015869140625, 40.71675324247426], [-73.60015869140625, 40.71675324247426], [-73.60015869140625, 40.71675324247426]]], _api=<tweepy.api.API object at 0x7f013ae30588>)",http://twitter.com/download/iphone,True,"{'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/7…', 'expanded_url': 'https://twitter.com/i/web/status/780579728964980736', 'indices': [117, 140], 'url': 'https://t.co/02NMQn3ZNQ'}], 'hashtags': []}",,1
779094002805182464,HillaryClinton,Let's make sure nobody who works full-time in America has to live in poverty. https://t.co/mpGBCNlemA https://t.co/fCcXd1MrTo,False,,2016-09-22T23:04:19,,,,False,en,2288,5812,,,,,,,,,,,,https://studio.twitter.com,False,"{'media': [{'display_url': 'pic.twitter.com/fCcXd1MrTo', 'expanded_url': 'https://twitter.com/HillaryClinton/status/779094002805182464/video/1', 'sizes': {'medium': {'h': 675, 'resize': 'fit', 'w': 1200}, 'small': {'h': 383, 'resize': 'fit', 'w': 680}, 'large': {'h': 1080, 'resize': 'fit', 'w': 1920}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'id_str': '777838449852153857', 'indices': [102, 125], 'id': 777838449852153857, 'url': 'https://t.co/fCcXd1MrTo', 'media_url_https': 'https://pbs.twimg.com/media/CstwIeoUsAA8QNz.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CstwIeoUsAA8QNz.jpg'}], 'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'hrc.io/2d3WUK6', 'expanded_url': 'http://hrc.io/2d3WUK6', 'indices': [78, 101], 'url': 'https://t.co/mpGBCNlemA'}], 'hashtags': []}","{'media': [{'display_url': 'pic.twitter.com/fCcXd1MrTo', 'sizes': {'medium': {'h': 675, 'resize': 'fit', 'w': 1200}, 'small': {'h': 383, 'resize': 'fit', 'w': 680}, 'large': {'h': 1080, 'resize': 'fit', 'w': 1920}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'expanded_url': 'https://twitter.com/HillaryClinton/status/779094002805182464/video/1', 'indices': [102, 125], 'id': 777838449852153857, 'url': 'https://t.co/fCcXd1MrTo', 'video_info': {'variants': [{'content_type': 'application/dash+xml', 'url': 'https://video.twimg.com/amplify_video/777838449852153857/pl/grO69kshEokdKBWB.mpd'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/777838449852153857/vid/640x360/h-GU-nTrnxQ0y7P-.mp4'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/777838449852153857/pl/grO69kshEokdKBWB.m3u8'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/777838449852153857/vid/1280x720/at5RI5Cl0o0K6zo0.mp4'}, {'bitrate': 320000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/777838449852153857/vid/320x180/hKVdqhpAGWDjJU1Q.mp4'}], 'aspect_ratio': [16, 9], 'duration_millis': 70112}, 'id_str': '777838449852153857', 'additional_media_info': {'embeddable': True, 'title': '', 'call_to_actions': {'visit_site': {'url': 'http://hrc.io/2cJRe7s'}}, 'description': '', 'monetizable': False}, 'media_url_https': 'https://pbs.twimg.com/media/CstwIeoUsAA8QNz.jpg', 'type': 'video', 'media_url': 'http://pbs.twimg.com/media/CstwIeoUsAA8QNz.jpg'}]}",1
778701067588472832,realDonaldTrump,"Thank you Toledo, Ohio! It is so important for you to get out and VOTE on November 8, 2016! Lets MAKE AMERICA SAFE… https://t.co/MQdp4GgLIE",False,,2016-09-21T21:02:56,,,,False,en,8867,28193,,,7068dd9474ab6973,"Toledo, OH",Toledo,city,US,United States,[],{},"BoundingBox(type='Polygon', coordinates=[[[-83.694776, 41.580375], [-83.454566, 41.580375], [-83.454566, 41.732806], [-83.694776, 41.732806]]], _api=<tweepy.api.API object at 0x7f013ae30588>)",http://twitter.com/download/iphone,True,"{'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/7…', 'expanded_url': 'https://twitter.com/i/web/status/778701067588472832', 'indices': [116, 139], 'url': 'https://t.co/MQdp4GgLIE'}], 'hashtags': []}",,1
778584630396129281,realDonaldTrump,The situations in Tulsa and Charlotte are tragic. We must come together to make America safe again.,False,,2016-09-21T13:20:15,,,,False,en,9644,28498,,,,,,,,,,,,http://twitter.com/download/iphone,False,"{'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': []}",,1
778553790568001540,realDonaldTrump,"It is a MOVEMENT - not a campaign. Leaving the past behind, changing our future. Together, we will MAKE AMERICA SAF… https://t.co/Lt2L3NKzyi",False,,2016-09-21T11:17:43,,,,False,en,16408,41498,,,,,,,,,,,,http://twitter.com/download/iphone,True,"{'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/7…', 'expanded_url': 'https://twitter.com/i/web/status/778553790568001540', 'indices': [117, 140], 'url': 'https://t.co/Lt2L3NKzyi'}], 'hashtags': []}",,1
778025630956912640,realDonaldTrump,"Together, we will MAKE AMERICA SAFE AND GREAT AGAIN! #ImWithYou #AmericaFirst https://t.co/XhwUGw0v2H",False,,2016-09-20T00:19:00,,,,False,en,10580,28035,,,96683cc9126741d1,United States,United States,country,US,United States,[],{},"BoundingBox(type='Polygon', coordinates=[[[-179.231086, 13.182335], [179.859685, 13.182335], [179.859685, 71.434357], [-179.231086, 71.434357]]], _api=<tweepy.api.API object at 0x7f013ae30588>)",http://twitter.com/#!/download/ipad,False,"{'media': [{'display_url': 'pic.twitter.com/XhwUGw0v2H', 'expanded_url': 'https://twitter.com/realDonaldTrump/status/778025630956912640/video/1', 'sizes': {'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'medium': {'h': 338, 'resize': 'fit', 'w': 600}, 'large': {'h': 576, 'resize': 'fit', 'w': 1024}, 'small': {'h': 191, 'resize': 'fit', 'w': 340}}, 'id_str': '778025485808828416', 'indices': [78, 101], 'id': 778025485808828416, 'url': 'https://t.co/XhwUGw0v2H', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/778025485808828416/pu/img/rLCrUcL9pkYlsCqe.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/778025485808828416/pu/img/rLCrUcL9pkYlsCqe.jpg'}], 'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': [{'text': 'ImWithYou', 'indices': [53, 63]}, {'text': 'AmericaFirst', 'indices': [64, 77]}]}","{'media': [{'display_url': 'pic.twitter.com/XhwUGw0v2H', 'sizes': {'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'medium': {'h': 338, 'resize': 'fit', 'w': 600}, 'large': {'h': 576, 'resize': 'fit', 'w': 1024}, 'small': {'h': 191, 'resize': 'fit', 'w': 340}}, 'expanded_url': 'https://twitter.com/realDonaldTrump/status/778025630956912640/video/1', 'indices': [78, 101], 'id': 778025485808828416, 'url': 'https://t.co/XhwUGw0v2H', 'video_info': {'variants': [{'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/778025485808828416/pu/vid/1280x720/07JY78XVpMcVltdI.mp4'}, {'bitrate': 320000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/778025485808828416/pu/vid/320x180/oGri_fLQjWJjnUBw.mp4'}, {'content_type': 'application/dash+xml', 'url': 'https://video.twimg.com/ext_tw_video/778025485808828416/pu/pl/70361nyF03rT0p0A.mpd'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/778025485808828416/pu/pl/70361nyF03rT0p0A.m3u8'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/778025485808828416/pu/vid/640x360/DY-hsLcDLd0KQIGC.mp4'}], 'aspect_ratio': [16, 9], 'duration_millis': 31231}, 'id_str': '778025485808828416', 'additional_media_info': {'monetizable': False}, 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/778025485808828416/pu/img/rLCrUcL9pkYlsCqe.jpg', 'type': 'video', 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/778025485808828416/pu/img/rLCrUcL9pkYlsCqe.jpg'}]}",1
776552722195705857,realDonaldTrump,"Instead of driving jobs and wealth away, AMERICA will become the WORLD'S great magnet for innovation &amp; job creation! https://t.co/cvu20ZQSVJ",False,,2016-09-15T22:46:11,,,,False,en,10620,28813,,,,,,,,,,,,http://twitter.com/download/iphone,False,"{'media': [{'display_url': 'pic.twitter.com/cvu20ZQSVJ', 'expanded_url': 'https://twitter.com/realDonaldTrump/status/776552722195705857/photo/1', 'sizes': {'medium': {'h': 1158, 'resize': 'fit', 'w': 1200}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'large': {'h': 1198, 'resize': 'fit', 'w': 1241}, 'small': {'h': 656, 'resize': 'fit', 'w': 680}}, 'id_str': '776552708287434754', 'indices': [121, 144], 'id': 776552708287434754, 'url': 'https://t.co/cvu20ZQSVJ', 'media_url_https': 'https://pbs.twimg.com/media/CsbekubXEAI06XN.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CsbekubXEAI06XN.jpg'}], 'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': []}","{'media': [{'display_url': 'pic.twitter.com/cvu20ZQSVJ', 'expanded_url': 'https://twitter.com/realDonaldTrump/status/776552722195705857/photo/1', 'sizes': {'medium': {'h': 1158, 'resize': 'fit', 'w': 1200}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'large': {'h': 1198, 'resize': 'fit', 'w': 1241}, 'small': {'h': 656, 'resize': 'fit', 'w': 680}}, 'id_str': '776552708287434754', 'indices': [121, 144], 'id': 776552708287434754, 'url': 'https://t.co/cvu20ZQSVJ', 'media_url_https': 'https://pbs.twimg.com/media/CsbekubXEAI06XN.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CsbekubXEAI06XN.jpg'}]}",1
776231971022376960,HillaryClinton,This is the America I believe in-Beautiful. Multifaceted. Loving. Inclusive. This is why I'm passionate https://t.co/ia363mFPv8 #WeTrumpHate,True,SophiaBush,2016-09-15T01:31:38,,,,False,en,1092,2716,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,False,"{'user_mentions': [{'id_str': '97082147', 'name': 'Sophia Bush', 'id': 97082147, 'screen_name': 'SophiaBush', 'indices': [3, 14]}], 'symbols': [], 'urls': [], 'hashtags': []}",,1
