id,handle,text,is_retweet,original_author,time,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,is_quote_status,lang,retweet_count,favorite_count,longitude,latitude,place_id,place_full_name,place_name,place_type,place_country_code,place_country,place_contained_within,place_attributes,place_bounding_box,source_url,truncated,entities,extended_entities,theme
780859319319400448,realDonaldTrump,Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! #ImWithYou https://t.co/vxWZ2tyJTF,False,,2016-09-27T19:59:04,,,,False,en,4878,14110,,,,,,,,,,,,http://twitter.com/download/iphone,False,"{'media': [{'display_url': 'pic.twitter.com/vxWZ2tyJTF', 'expanded_url': 'https://twitter.com/realDonaldTrump/status/780859319319400448/photo/1', 'sizes': {'large': {'h': 744, 'resize': 'fit', 'w': 1024}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'medium': {'h': 744, 'resize': 'fit', 'w': 1024}, 'small': {'h': 494, 'resize': 'fit', 'w': 680}}, 'id_str': '780859278236286976', 'indices': [105, 128], 'id': 780859278236286976, 'url': 'https://t.co/vxWZ2tyJTF', 'media_url_https': 'https://pbs.twimg.com/media/CtYrYFrXgAAuBQo.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CtYrYFrXgAAuBQo.jpg'}], 'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': [{'text': 'ImWithYou', 'indices': [94, 104]}]}","{'media': [{'display_url': 'pic.twitter.com/vxWZ2tyJTF', 'expanded_url': 'https://twitter.com/realDonaldTrump/status/780859319319400448/photo/1', 'sizes': {'large': {'h': 744, 'resize': 'fit', 'w': 1024}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'medium': {'h': 744, 'resize': 'fit', 'w': 1024}, 'small': {'h': 494, 'resize': 'fit', 'w': 680}}, 'id_str': '780859278236286976', 'indices': [105, 128], 'id': 780859278236286976, 'url': 'https://t.co/vxWZ2tyJTF', 'media_url_https': 'https://pbs.twimg.com/media/CtYrYFrXgAAuBQo.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CtYrYFrXgAAuBQo.jpg'}]}",4
780813996739981316,realDonaldTrump,"Thank you for your endorsement, @GovernorSununu. #MAGA 
https://t.co/8BEeQPsuyd",False,,2016-09-27T16:58:58,,,,False,en,4191,13152,,,,,,,,,,,,http://twitter.com/download/iphone,False,"{'user_mentions': [{'id_str': '757587319', 'name': 'John H Sununu', 'id': 757587319, 'screen_name': 'GovernorSununu', 'indices': [32, 47]}], 'symbols': [], 'urls': [{'display_url': 'donaldjtrump.com/press-releases…', 'expanded_url': 'https://www.donaldjtrump.com/press-releases/john-h.-sununu-endorses-donald-j.-trump', 'indices': [56, 79], 'url': 'https://t.co/8BEeQPsuyd'}], 'hashtags': [{'text': 'MAGA', 'indices': [49, 54]}]}",,4
780781898071207940,realDonaldTrump,"Thank you! #TrumpWon #MAGA 
https://t.co/a5rr1i38km",False,,2016-09-27T14:51:25,,,,False,en,7255,17380,,,,,,,,,,,,http://twitter.com/download/iphone,False,"{'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'dailymail.co.uk/news/article-3…', 'expanded_url': 'http://www.dailymail.co.uk/news/article-3809204/Most-snap-polls-Trump-winning-debate-landslide.html', 'indices': [28, 51], 'url': 'https://t.co/a5rr1i38km'}], 'hashtags': [{'text': 'TrumpWon', 'indices': [11, 20]}, {'text': 'MAGA', 'indices': [21, 26]}]}",,4
780758306239512577,realDonaldTrump,The #1 trend on Twitter right now is #TrumpWon - thank you!,False,,2016-09-27T13:17:40,,,,False,en,19561,52449,,,,,,,,,,,,http://twitter.com/download/iphone,False,"{'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': [{'text': 'TrumpWon', 'indices': [37, 46]}]}",,4
780644145492877312,realDonaldTrump,"Thank you! CNBC #DebateNight poll with over 400,000 votes. 
Trump 61%
Clinton 39%
#AmericaFirst #ImWithYou… https://t.co/MJ3NwA98op",False,,2016-09-27T05:44:02,,,,False,en,16167,34480,,,01a9a39529b27f36,"Manhattan, NY",Manhattan,city,US,United States,[],{},"BoundingBox(type='Polygon', coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]], _api=<tweepy.api.API object at 0x7f013ae30588>)",http://twitter.com/download/iphone,True,"{'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/7…', 'expanded_url': 'https://twitter.com/i/web/status/780644145492877312', 'indices': [108, 131], 'url': 'https://t.co/MJ3NwA98op'}], 'hashtags': [{'text': 'DebateNight', 'indices': [16, 28]}, {'text': 'AmericaFirst', 'indices': [82, 95]}, {'text': 'ImWithYou', 'indices': [96, 106]}]}",,4
780642262921441280,realDonaldTrump,"TIME #DebateNight poll - over 800,000 votes. Thank you! 
#AmericaFirst #MAGA https://t.co/bTPX9E0wKu",False,,2016-09-27T05:36:33,,,,False,en,12479,27258,,,01a9a39529b27f36,"Manhattan, NY",Manhattan,city,US,United States,[],{},"BoundingBox(type='Polygon', coordinates=[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]], _api=<tweepy.api.API object at 0x7f013ae30588>)",http://twitter.com/download/iphone,False,"{'media': [{'display_url': 'pic.twitter.com/bTPX9E0wKu', 'expanded_url': 'https://twitter.com/realDonaldTrump/status/780642262921441280/photo/1', 'sizes': {'large': {'h': 1701, 'resize': 'fit', 'w': 1361}, 'small': {'h': 680, 'resize': 'fit', 'w': 544}, 'medium': {'h': 1200, 'resize': 'fit', 'w': 960}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'id_str': '780642256374075392', 'indices': [77, 100], 'id': 780642256374075392, 'url': 'https://t.co/bTPX9E0wKu', 'media_url_https': 'https://pbs.twimg.com/media/CtVl_wPWEAArxzp.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CtVl_wPWEAArxzp.jpg'}], 'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': [{'text': 'DebateNight', 'indices': [5, 17]}, {'text': 'AmericaFirst', 'indices': [57, 70]}, {'text': 'MAGA', 'indices': [71, 76]}]}","{'media': [{'display_url': 'pic.twitter.com/bTPX9E0wKu', 'expanded_url': 'https://twitter.com/realDonaldTrump/status/780642262921441280/photo/1', 'sizes': {'large': {'h': 1701, 'resize': 'fit', 'w': 1361}, 'small': {'h': 680, 'resize': 'fit', 'w': 544}, 'medium': {'h': 1200, 'resize': 'fit', 'w': 960}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'id_str': '780642256374075392', 'indices': [77, 100], 'id': 780642256374075392, 'url': 'https://t.co/bTPX9E0wKu', 'media_url_https': 'https://pbs.twimg.com/media/CtVl_wPWEAArxzp.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CtVl_wPWEAArxzp.jpg'}]}",4
780626558176333824,realDonaldTrump,"Wow, did great in the debate polls (except for @CNN - which I don't watch). Thank you!",False,,2016-09-27T04:34:09,,,,False,en,12739,40321,,,,,,,,,,,,http://twitter.com/download/android,False,"{'user_mentions': [{'id_str': '759251', 'name': 'CNN', 'id': 759251, 'screen_name': 'CNN', 'indices': [47, 51]}], 'symbols': [], 'urls': [], 'hashtags': []}",,4
780618680338178048,realDonaldTrump,"Thank you Governor @TerryBranstad! 
#AmericaFirst #Debates2016 https://t.co/yIeZctdQy8",False,,2016-09-27T04:02:51,,,,True,en,5578,14830,,,,,,,,,,,,http://twitter.com/download/iphone,False,"{'user_mentions': [{'id_str': '84406725', 'name': 'Terry Branstad', 'id': 84406725, 'screen_name': 'TerryBranstad', 'indices': [19, 33]}], 'symbols': [], 'urls': [{'display_url': 'twitter.com/teamtrump/stat…', 'expanded_url': 'https://twitter.com/teamtrump/status/780603926949363712', 'indices': [63, 86], 'url': 'https://t.co/yIeZctdQy8'}], 'hashtags': [{'text': 'AmericaFirst', 'indices': [36, 49]}, {'text': 'Debates2016', 'indices': [50, 62]}]}",,4
780617562476441601,realDonaldTrump,"Thank you Senator @TedCruz!
#Debates2016 #MAGA https://t.co/cgO6109USJ",False,,2016-09-27T03:58:24,,,,False,en,18519,39447,,,,,,,,,,,,http://twitter.com/download/iphone,False,"{'media': [{'display_url': 'pic.twitter.com/cgO6109USJ', 'expanded_url': 'https://twitter.com/realDonaldTrump/status/780617562476441601/photo/1', 'sizes': {'medium': {'h': 1200, 'resize': 'fit', 'w': 661}, 'small': {'h': 680, 'resize': 'fit', 'w': 374}, 'large': {'h': 1893, 'resize': 'fit', 'w': 1042}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'id_str': '780617552728846337', 'indices': [47, 70], 'id': 780617552728846337, 'url': 'https://t.co/cgO6109USJ', 'media_url_https': 'https://pbs.twimg.com/media/CtVPhz_WcAE8r0r.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CtVPhz_WcAE8r0r.jpg'}], 'user_mentions': [{'id_str': '23022687', 'name': 'Ted Cruz', 'id': 23022687, 'screen_name': 'tedcruz', 'indices': [18, 26]}], 'symbols': [], 'urls': [], 'hashtags': [{'text': 'Debates2016', 'indices': [28, 40]}, {'text': 'MAGA', 'indices': [41, 46]}]}","{'media': [{'display_url': 'pic.twitter.com/cgO6109USJ', 'expanded_url': 'https://twitter.com/realDonaldTrump/status/780617562476441601/photo/1', 'sizes': {'medium': {'h': 1200, 'resize': 'fit', 'w': 661}, 'small': {'h': 680, 'resize': 'fit', 'w': 374}, 'large': {'h': 1893, 'resize': 'fit', 'w': 1042}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'id_str': '780617552728846337', 'indices': [47, 70], 'id': 780617552728846337, 'url': 'https://t.co/cgO6109USJ', 'media_url_https': 'https://pbs.twimg.com/media/CtVPhz_WcAE8r0r.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CtVPhz_WcAE8r0r.jpg'}]}",4
780377077518364673,realDonaldTrump,"New national Bloomberg poll just released - thank you! Join the MOVEMENT: https://t.co/3KWOl2ibaW. 
#TrumpTrain… https://t.co/xDGCwYVK0Q",False,,2016-09-26T12:02:48,,,,False,en,11472,28638,,,,,,,,,,,,http://twitter.com/download/iphone,True,"{'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'DonaldJTrump.com', 'expanded_url': 'http://www.DonaldJTrump.com', 'indices': [74, 97], 'url': 'https://t.co/3KWOl2ibaW'}, {'display_url': 'twitter.com/i/web/status/7…', 'expanded_url': 'https://twitter.com/i/web/status/780377077518364673', 'indices': [113, 136], 'url': 'https://t.co/xDGCwYVK0Q'}], 'hashtags': [{'text': 'TrumpTrain', 'indices': [100, 111]}]}",,4
